caminho,nome_do_arquivo,tipo,modulo_relacionado,finalidade,publico,status,observacoes
01_PLANILHAS_EDITAVEIS/PLANILHA_PLANEJAMENTO_DE_OBRA_PRELIMINAR.xlsx,PLANILHA_PLANEJAMENTO_DE_OBRA_PRELIMINAR.xlsx,xlsx,12,planilha editável,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/PLANILHA_QUANTITATIVOS_E_ORCAMENTO_PRELIMINAR.xlsx,PLANILHA_QUANTITATIVOS_E_ORCAMENTO_PRELIMINAR.xlsx,xlsx,11,planilha editável,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/PLANILHA_VISTORIAS_E_REGISTROS_TECNICOS.xlsx,PLANILHA_VISTORIAS_E_REGISTROS_TECNICOS.xlsx,xlsx,13,planilha editável,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
02_PDFS_DIAGRAMADOS/GUIA_COMPATIBILIZACAO_TECNICA_COM_IA.pdf,GUIA_COMPATIBILIZACAO_TECNICA_COM_IA.pdf,pdf,10,guia diagramado em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
02_PDFS_DIAGRAMADOS/GUIA_GERAL_MODULOS_IA_10_A_14.pdf,GUIA_GERAL_MODULOS_IA_10_A_14.pdf,pdf,Geral,guia diagramado em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
02_PDFS_DIAGRAMADOS/GUIA_ORCAMENTO_E_QUANTITATIVOS_COM_IA.pdf,GUIA_ORCAMENTO_E_QUANTITATIVOS_COM_IA.pdf,pdf,11,guia diagramado em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
02_PDFS_DIAGRAMADOS/GUIA_PLANEJAMENTO_DE_OBRA_COM_IA.pdf,GUIA_PLANEJAMENTO_DE_OBRA_COM_IA.pdf,pdf,12,guia diagramado em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
02_PDFS_DIAGRAMADOS/GUIA_SEGURANCA_DO_TRABALHO_EM_OBRAS_COM_IA.pdf,GUIA_SEGURANCA_DO_TRABALHO_EM_OBRAS_COM_IA.pdf,pdf,14,guia diagramado em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
02_PDFS_DIAGRAMADOS/GUIA_VISTORIAS_E_RELATORIOS_TECNICOS_COM_IA.pdf,GUIA_VISTORIAS_E_RELATORIOS_TECNICOS_COM_IA.pdf,pdf,13,guia diagramado em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/01_FLUXO_DE_COMPATIBILIZACAO_TECNICA_COM_IA.md,01_FLUXO_DE_COMPATIBILIZACAO_TECNICA_COM_IA.md,md,10,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/02_MATRIZ_DE_INTERFERENCIAS_ENTRE_DISCIPLINAS.md,02_MATRIZ_DE_INTERFERENCIAS_ENTRE_DISCIPLINAS.md,md,10,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/03_CHECKLIST_VISUAL_DE_CONFLITOS_COMUNS.md,03_CHECKLIST_VISUAL_DE_CONFLITOS_COMUNS.md,md,10,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/04_MAPA_DE_PERGUNTAS_PARA_COMPATIBILIZACAO.md,04_MAPA_DE_PERGUNTAS_PARA_COMPATIBILIZACAO.md,md,10,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/05_FLUXO_DE_LEVANTAMENTO_DE_QUANTITATIVOS.md,05_FLUXO_DE_LEVANTAMENTO_DE_QUANTITATIVOS.md,md,11,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/06_QUANTIDADE_INFORMADA_ESTIMADA_E_VALIDADA.md,06_QUANTIDADE_INFORMADA_ESTIMADA_E_VALIDADA.md,md,11,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/07_MAPA_DE_CRITERIOS_DE_MEDICAO.md,07_MAPA_DE_CRITERIOS_DE_MEDICAO.md,md,11,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/08_ESTRUTURA_DE_ORCAMENTO_PRELIMINAR_COM_IA.md,08_ESTRUTURA_DE_ORCAMENTO_PRELIMINAR_COM_IA.md,md,11,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/09_FLUXO_DE_CRIACAO_DE_EAP.md,09_FLUXO_DE_CRIACAO_DE_EAP.md,md,12,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/10_ATIVIDADES_DEPENDENCIAS_E_MARCOS.md,10_ATIVIDADES_DEPENDENCIAS_E_MARCOS.md,md,12,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/11_MAPA_DE_RISCOS_DE_PLANEJAMENTO.md,11_MAPA_DE_RISCOS_DE_PLANEJAMENTO.md,md,12,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/12_CRONOGRAMA_PRELIMINAR_LIMITES.md,12_CRONOGRAMA_PRELIMINAR_LIMITES.md,md,12,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/13_FLUXO_DE_VISTORIA_ASSISTIDA_POR_IA.md,13_FLUXO_DE_VISTORIA_ASSISTIDA_POR_IA.md,md,13,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/14_MAPA_DE_REGISTRO_FOTOGRAFICO_TECNICO.md,14_MAPA_DE_REGISTRO_FOTOGRAFICO_TECNICO.md,md,13,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/15_CLASSIFICACAO_PRELIMINAR_DE_ACHADOS.md,15_CLASSIFICACAO_PRELIMINAR_DE_ACHADOS.md,md,13,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/16_ESTRUTURA_SEGURA_DE_RELATORIO_PRELIMINAR.md,16_ESTRUTURA_SEGURA_DE_RELATORIO_PRELIMINAR.md,md,13,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/17_FLUXO_DE_IDENTIFICACAO_PRELIMINAR_DE_RISCOS.md,17_FLUXO_DE_IDENTIFICACAO_PRELIMINAR_DE_RISCOS.md,md,14,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/18_MAPA_VISUAL_DE_EPI_EPC_E_SINALIZACAO.md,18_MAPA_VISUAL_DE_EPI_EPC_E_SINALIZACAO.md,md,14,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/19_ESTRUTURA_DE_DDS_COM_APOIO_DE_IA.md,19_ESTRUTURA_DE_DDS_COM_APOIO_DE_IA.md,md,14,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/20_LIMITES_DA_IA_EM_SEGURANCA_DO_TRABALHO.md,20_LIMITES_DA_IA_EM_SEGURANCA_DO_TRABALHO.md,md,14,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/21_COMO_USAR_IA_EM_OBRAS_COM_SEGURANCA.md,21_COMO_USAR_IA_EM_OBRAS_COM_SEGURANCA.md,md,14,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/22_APOIO_DA_IA_X_VALIDACAO_PROFISSIONAL.md,22_APOIO_DA_IA_X_VALIDACAO_PROFISSIONAL.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/23_FLUXO_GERAL_DOS_MODULOS_IA_10_A_14.md,23_FLUXO_GERAL_DOS_MODULOS_IA_10_A_14.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/MD/24_JORNADA_DO_USUARIO_NO_PACOTE_COMPLETO.md,24_JORNADA_DO_USUARIO_NO_PACOTE_COMPLETO.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/01_FLUXO_DE_COMPATIBILIZACAO_TECNICA_COM_IA.pdf,01_FLUXO_DE_COMPATIBILIZACAO_TECNICA_COM_IA.pdf,pdf,10,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/02_MATRIZ_DE_INTERFERENCIAS_ENTRE_DISCIPLINAS.pdf,02_MATRIZ_DE_INTERFERENCIAS_ENTRE_DISCIPLINAS.pdf,pdf,10,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/03_CHECKLIST_VISUAL_DE_CONFLITOS_COMUNS.pdf,03_CHECKLIST_VISUAL_DE_CONFLITOS_COMUNS.pdf,pdf,10,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/04_MAPA_DE_PERGUNTAS_PARA_COMPATIBILIZACAO.pdf,04_MAPA_DE_PERGUNTAS_PARA_COMPATIBILIZACAO.pdf,pdf,10,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/05_FLUXO_DE_LEVANTAMENTO_DE_QUANTITATIVOS.pdf,05_FLUXO_DE_LEVANTAMENTO_DE_QUANTITATIVOS.pdf,pdf,11,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/06_QUANTIDADE_INFORMADA_ESTIMADA_E_VALIDADA.pdf,06_QUANTIDADE_INFORMADA_ESTIMADA_E_VALIDADA.pdf,pdf,11,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/07_MAPA_DE_CRITERIOS_DE_MEDICAO.pdf,07_MAPA_DE_CRITERIOS_DE_MEDICAO.pdf,pdf,11,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/08_ESTRUTURA_DE_ORCAMENTO_PRELIMINAR_COM_IA.pdf,08_ESTRUTURA_DE_ORCAMENTO_PRELIMINAR_COM_IA.pdf,pdf,11,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/09_FLUXO_DE_CRIACAO_DE_EAP.pdf,09_FLUXO_DE_CRIACAO_DE_EAP.pdf,pdf,12,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/10_ATIVIDADES_DEPENDENCIAS_E_MARCOS.pdf,10_ATIVIDADES_DEPENDENCIAS_E_MARCOS.pdf,pdf,12,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/11_MAPA_DE_RISCOS_DE_PLANEJAMENTO.pdf,11_MAPA_DE_RISCOS_DE_PLANEJAMENTO.pdf,pdf,12,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/12_CRONOGRAMA_PRELIMINAR_LIMITES.pdf,12_CRONOGRAMA_PRELIMINAR_LIMITES.pdf,pdf,12,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/13_FLUXO_DE_VISTORIA_ASSISTIDA_POR_IA.pdf,13_FLUXO_DE_VISTORIA_ASSISTIDA_POR_IA.pdf,pdf,13,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/14_MAPA_DE_REGISTRO_FOTOGRAFICO_TECNICO.pdf,14_MAPA_DE_REGISTRO_FOTOGRAFICO_TECNICO.pdf,pdf,13,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/15_CLASSIFICACAO_PRELIMINAR_DE_ACHADOS.pdf,15_CLASSIFICACAO_PRELIMINAR_DE_ACHADOS.pdf,pdf,13,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/16_ESTRUTURA_SEGURA_DE_RELATORIO_PRELIMINAR.pdf,16_ESTRUTURA_SEGURA_DE_RELATORIO_PRELIMINAR.pdf,pdf,13,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/17_FLUXO_DE_IDENTIFICACAO_PRELIMINAR_DE_RISCOS.pdf,17_FLUXO_DE_IDENTIFICACAO_PRELIMINAR_DE_RISCOS.pdf,pdf,14,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/18_MAPA_VISUAL_DE_EPI_EPC_E_SINALIZACAO.pdf,18_MAPA_VISUAL_DE_EPI_EPC_E_SINALIZACAO.pdf,pdf,14,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/19_ESTRUTURA_DE_DDS_COM_APOIO_DE_IA.pdf,19_ESTRUTURA_DE_DDS_COM_APOIO_DE_IA.pdf,pdf,14,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/20_LIMITES_DA_IA_EM_SEGURANCA_DO_TRABALHO.pdf,20_LIMITES_DA_IA_EM_SEGURANCA_DO_TRABALHO.pdf,pdf,14,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/21_COMO_USAR_IA_EM_OBRAS_COM_SEGURANCA.pdf,21_COMO_USAR_IA_EM_OBRAS_COM_SEGURANCA.pdf,pdf,14,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/22_APOIO_DA_IA_X_VALIDACAO_PROFISSIONAL.pdf,22_APOIO_DA_IA_X_VALIDACAO_PROFISSIONAL.pdf,pdf,Geral,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/23_FLUXO_GERAL_DOS_MODULOS_IA_10_A_14.pdf,23_FLUXO_GERAL_DOS_MODULOS_IA_10_A_14.pdf,pdf,Geral,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PDF/24_JORNADA_DO_USUARIO_NO_PACOTE_COMPLETO.pdf,24_JORNADA_DO_USUARIO_NO_PACOTE_COMPLETO.pdf,pdf,Geral,prancha conceitual em PDF,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/01_FLUXO_DE_COMPATIBILIZACAO_TECNICA_COM_IA.png,01_FLUXO_DE_COMPATIBILIZACAO_TECNICA_COM_IA.png,png,10,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/02_MATRIZ_DE_INTERFERENCIAS_ENTRE_DISCIPLINAS.png,02_MATRIZ_DE_INTERFERENCIAS_ENTRE_DISCIPLINAS.png,png,10,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/03_CHECKLIST_VISUAL_DE_CONFLITOS_COMUNS.png,03_CHECKLIST_VISUAL_DE_CONFLITOS_COMUNS.png,png,10,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/04_MAPA_DE_PERGUNTAS_PARA_COMPATIBILIZACAO.png,04_MAPA_DE_PERGUNTAS_PARA_COMPATIBILIZACAO.png,png,10,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/05_FLUXO_DE_LEVANTAMENTO_DE_QUANTITATIVOS.png,05_FLUXO_DE_LEVANTAMENTO_DE_QUANTITATIVOS.png,png,11,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/06_QUANTIDADE_INFORMADA_ESTIMADA_E_VALIDADA.png,06_QUANTIDADE_INFORMADA_ESTIMADA_E_VALIDADA.png,png,11,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/07_MAPA_DE_CRITERIOS_DE_MEDICAO.png,07_MAPA_DE_CRITERIOS_DE_MEDICAO.png,png,11,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/08_ESTRUTURA_DE_ORCAMENTO_PRELIMINAR_COM_IA.png,08_ESTRUTURA_DE_ORCAMENTO_PRELIMINAR_COM_IA.png,png,11,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/09_FLUXO_DE_CRIACAO_DE_EAP.png,09_FLUXO_DE_CRIACAO_DE_EAP.png,png,12,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/10_ATIVIDADES_DEPENDENCIAS_E_MARCOS.png,10_ATIVIDADES_DEPENDENCIAS_E_MARCOS.png,png,12,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/11_MAPA_DE_RISCOS_DE_PLANEJAMENTO.png,11_MAPA_DE_RISCOS_DE_PLANEJAMENTO.png,png,12,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/12_CRONOGRAMA_PRELIMINAR_LIMITES.png,12_CRONOGRAMA_PRELIMINAR_LIMITES.png,png,12,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/13_FLUXO_DE_VISTORIA_ASSISTIDA_POR_IA.png,13_FLUXO_DE_VISTORIA_ASSISTIDA_POR_IA.png,png,13,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/14_MAPA_DE_REGISTRO_FOTOGRAFICO_TECNICO.png,14_MAPA_DE_REGISTRO_FOTOGRAFICO_TECNICO.png,png,13,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/15_CLASSIFICACAO_PRELIMINAR_DE_ACHADOS.png,15_CLASSIFICACAO_PRELIMINAR_DE_ACHADOS.png,png,13,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/16_ESTRUTURA_SEGURA_DE_RELATORIO_PRELIMINAR.png,16_ESTRUTURA_SEGURA_DE_RELATORIO_PRELIMINAR.png,png,13,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/17_FLUXO_DE_IDENTIFICACAO_PRELIMINAR_DE_RISCOS.png,17_FLUXO_DE_IDENTIFICACAO_PRELIMINAR_DE_RISCOS.png,png,14,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/18_MAPA_VISUAL_DE_EPI_EPC_E_SINALIZACAO.png,18_MAPA_VISUAL_DE_EPI_EPC_E_SINALIZACAO.png,png,14,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/19_ESTRUTURA_DE_DDS_COM_APOIO_DE_IA.png,19_ESTRUTURA_DE_DDS_COM_APOIO_DE_IA.png,png,14,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
03_PRANCHAS_CONCEITUAIS/PNG/20_LIMITES_DA_IA_EM_SEGURANCA_DO_TRABALHO.png,20_LIMITES_DA_IA_EM_SEGURANCA_DO_TRABALHO.png,png,14,prancha conceitual em PNG,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
